,ROC_AUC,Weighted F1 score,Weighted precision,Weighted recall,Embedding,Training set,Testing set,Model index
20,0.619740781687214,0.688267717238557,0.703266989293132,0.76007196205637,w2v,target,source,0
21,0.595460983006284,0.614612663274617,0.623080924461559,0.607522173362153,w2v,target,target,0
22,0.473920889528621,0.559961451618031,0.620902262898592,0.527094804557597,w2v,target,source,1
23,0.624541425552161,0.619586232466791,0.649892059983692,0.602682231497354,w2v,target,target,1
24,0.621280869876131,0.733593169942896,0.727587428183873,0.759799378509513,w2v,target,source,2
25,0.586814906251114,0.549732351547391,0.652166178633408,0.526114258030856,w2v,target,target,2
26,0.618464845371012,0.698411863978442,0.685284671649467,0.727552744916317,w2v,target,source,3
27,0.608985337923577,0.544130406293101,0.661934074696227,0.52203827234106,w2v,target,target,3
28,0.579807664737012,0.488639859749124,0.673223913884304,0.460857002671319,w2v,target,source,4
29,0.600478796296355,0.55813153381323,0.649645823264208,0.533958783632705,w2v,target,target,4
30,0.518269407728583,0.582805465771413,0.64407120347272,0.551627323774737,w2v,target,source,5
31,0.609028776485677,0.410309651549997,0.762820344816135,0.4366894611314,w2v,target,target,5
32,0.533218684948769,0.330442862246384,0.666274169889859,0.349970015809846,w2v,target,source,6
33,0.606098908480091,0.569503517197403,0.646749994137795,0.545222478944623,w2v,target,target,6
34,0.585677861222066,0.67391058811013,0.665900500494438,0.683612277162951,w2v,target,source,7
35,0.62763775641235,0.598759095080993,0.66159006407004,0.576223261533875,w2v,target,target,7
36,0.499732077448716,0.65902046551972,0.643986230969272,0.679523523960094,w2v,target,source,8
37,0.609127578350132,0.593823799528257,0.649934886134532,0.571378661399717,w2v,target,target,8
38,0.585674043537747,0.629949167210033,0.667832639621249,0.607234367333588,w2v,target,source,9
39,0.625922978208295,0.519940087918998,0.692281153994079,0.50580886189163,w2v,target,target,9
